time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_ub_mean,s_ub_median,s_ub_lerror,s_ub_herror,s_ub_ltail,s_ub_htail,s_pb_mean,s_pb_median,s_pb_lerror,s_pb_herror,s_pb_ltail,s_pb_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,aleph,m,n,strategies,u,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,10,10,UB&PB,0.55,45069
2500,0.834275692850576,0.7653608348386709,0.6056504641371123,0.8833311763803197,0.9329621894662447,0.8793582847281689,0.9714627063546042,0.8936819292252335,0.8131709928099672,0.9496902596864502,0.837131485429992,0.16286851457000734,0.013795492238945637,1.985580826369887e-5,0.0,0.0002615677688220712,0.0,0.09046762459905955,0.013514608136286682,1.6623450003885646e-5,0.0,0.0002499240053559392,0.0,0.09023515885884306,0.01527781583651765,5.5668244148027346e-5,2.5157988905865902e-8,0.002130259692295065,0.0,0.09144936804563839,0.013716804363193644,0.0,0.0,0.0,0.03664639584059968,0.006603496992697934,0.0,0.08329320366027221,0.0885902343552529,0.08815586337200797,0.0830968868666906,0.09326763631227537,0.011877924574046609,0.4213652797584995,19014.115468582168,4519.075532752803,76891.3520874708,0.05,10,10,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10,10,UB&PB,0.55,45069
2500,0.867461168834782,0.7792551444498897,0.6700724562418663,0.8796645162052039,0.9288956039728137,0.8733351086253968,0.9691358527699181,0.8624473108733606,0.7483100544209214,0.9338311637135533,0.926874200426439,0.07312579957356075,0.01202610321935812,8.035308905148039e-5,1.1141546742497464e-5,0.00039360865695442694,2.1500002690473725e-8,0.08325292411651723,0.011687835090586182,7.906367812835106e-5,1.096314850145061e-5,0.00038441181100110945,1.8373061313928418e-8,0.08022628110816284,0.016368833208779902,0.00011341000171328812,2.0047484614252637e-5,0.008716068489208256,6.727433864364982e-7,0.08989216581242118,0.011916502642268309,0.0,0.0,0.0,0.031625181642483964,0.02346486924559373,0.003134729304579847,0.04869077881046692,0.0886885500093722,0.08834887216275014,0.0836591373210315,0.09301941392874569,0.012053054092814333,0.4280714809460351,34584.4841396921,9261.658740894653,111997.01323570721,0.1,10,10,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,10,10,UB&PB,0.55,45069
2500,0.8859064438729638,0.8435102965164102,0.7303412788114175,0.9263592643255556,0.9214888026594337,0.8597432028796925,0.9657237266426717,0.8575708710628341,0.7637493698619491,0.9303752824496104,0.9515707178393737,0.0484292821606254,0.011247389502549183,0.00021618149403416535,0.0001095583963271328,0.0012951420260494779,1.5594955155346557e-6,0.052540676581416944,0.010778227360525586,0.0002160338129647839,0.00010910025305303565,0.0013023842227496128,1.5042760570017786e-6,0.04858645269703503,0.01999731178166453,0.0004845726101671678,0.00012195461331706882,0.02441649937509717,1.7078113503825843e-5,0.09080323841014516,0.011026385089554024,0.0,0.0,4.721062217902435e-6,0.03753800479555785,0.04271794126462165,0.024396004276197734,0.04528457311093393,0.08863686454250731,0.08824481081760485,0.08373151081262098,0.0928051675554237,0.0017391484155762492,0.7925238958142669,57609.40645528068,19131.77097608903,167930.5236360524,0.15,10,10,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,10,10,UB&PB,0.55,45069
2500,0.8934478320428451,0.7859166923375528,0.6718609903493037,0.8878739730480646,0.898873334766956,0.8233636153649722,0.9545944692679817,0.8497638173402228,0.7435394147152684,0.9277911110949892,0.9592579957356077,0.040742004264392326,0.011240963664042083,0.00033935822904959266,0.00016535643484548172,0.0025565812988164334,3.4241050775066384e-6,0.05070380819567525,0.010732939859467352,0.00033885655520565354,0.00016494463955184325,0.0025691034165403995,3.4007293968421073e-6,0.04768924621051938,0.02272844073301926,0.0018083198940653026,0.00023219132967462487,0.03484535293428549,3.789681363702894e-5,0.0911935277910569,0.010893213633700848,0.0,0.0,4.304357123575294e-5,0.037111135047321414,0.042357948528530316,0.024364863371727677,0.04500767862900141,0.08810486700502433,0.08772236690571199,0.08317194066319064,0.09229403432725725,0.021947558408324096,0.2881973942491427,43551.12874297155,16505.938774855258,113110.57807372541,0.2,10,10,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,10,10,UB&PB,0.55,45069
2500,0.8990482865426342,0.8356550029705424,0.723639034254603,0.9169784543576344,0.9076443951891859,0.8381943578388595,0.9588800625051324,0.8472750876041141,0.7409691069364955,0.9264943374416678,0.9579481165600557,0.042051883439943115,0.011599887001277964,0.00048487162673916957,0.0002275840769066653,0.004244802361029562,6.057132655859944e-6,0.05172313364130948,0.010976337489457302,0.0004843282085473214,0.00022674984281455916,0.004258635409420354,6.098856934738133e-6,0.04767610427175701,0.02524242754865336,0.004236735900269397,0.0003695128845175895,0.0422233018030933,6.704054853412846e-5,0.09277992963923083,0.01107762206739087,0.0,0.0,0.0002384570289543678,0.0371011515404965,0.04210284849007285,0.024371593763127565,0.0450434243762662,0.08847796917030501,0.08809472552034656,0.08365698623956301,0.09254178078598158,0.018286889521939836,0.2917073401224083,59308.18769338535,22966.29102115391,151232.71720003133,0.25,10,10,UB&PB,0.55,45069
