time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,aleph,λ,strategies,u,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,UB&PB,0.55,45069
2500,0.906044667553017,0.8254145992386901,0.7214289780431631,0.905881337591368,0.8944360087521538,0.8080417089552787,0.9531765938110682,0.8526003621310797,0.7506508944897282,0.9210496055537039,0.9619566453447053,0.038043354655294986,0.011505550882889397,0.0007098626781750024,0.00028886842521255143,0.007154051060565698,7.664649250148916e-6,0.050305634390030385,0.0107990141902173,0.0,0.0,0.0018160878494436902,0.034663805715622234,0.03870552643225983,0.021007751625758166,0.042535120289609075,0.08384153929782344,0.0831429794539008,0.07812640633921175,0.08816570530714893,0.0029314077605411323,0.9431195591162964,43123.90756879516,17999.588117687403,101562.22680073633,0.3,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,UB&PB,0.55,45069
2500,0.9315076762573467,0.6008366629313974,0.47437687154280905,0.7250530205345037,0.8843283534561777,0.7910349812286602,0.9503838758193713,0.6745458309676267,0.5577785115430021,0.7861672658411129,0.957520255863539,0.04247974413646053,0.010551784289417915,0.0015835212777803305,0.00028364154413735876,0.010406314731970803,3.7633390845487185e-6,0.04535167445865296,0.010414203387319469,0.0011286533548956388,2.6073825942932275e-6,0.007767463504141064,0.025033238282294503,0.025948187041396637,0.011944192692734862,0.032687535141266,0.0861395068354618,0.0837200670790654,0.07102759082150167,0.09639297134778206,0.01926644261730208,0.3616154250799104,26994.855190666447,12331.08065839735,58264.74995235534,0.35,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,UB&PB,0.55,45069
2500,0.9292174189183221,0.7497463480286473,0.630737548331245,0.8447307814452376,0.8588889229029683,0.770758344736674,0.9330150791727067,0.7809189360829187,0.6049910335943319,0.8960193558749419,0.9633361762615483,0.03666382373845062,0.01196450029101769,0.0014446997244675305,0.0003929705544497922,0.013566870861686118,7.127428635833124e-6,0.0517460943206416,0.011145576598334804,0.00019682125826741732,0.0,0.010598841171103787,0.02862417837102264,0.029859808061211027,0.013813080598014924,0.037488871639769966,0.08484685269127608,0.08380208889208393,0.07698689288160195,0.0905738019764361,0.0034605993178067613,0.8530194646405725,38293.894743167,17657.811333732232,77215.24682195132,0.4,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,UB&PB,0.55,45069
2500,0.9870044876561593,0.2941502206479401,0.15022471598563925,0.517646355691446,0.8992827930114954,0.8239319282234902,0.9539964560374945,0.4149794809022826,0.259770444200883,0.592940733736571,0.9432181947405834,0.05678180525941713,0.01144012148889405,0.0075086735791399205,0.0006886490375047045,0.01969220332436178,3.0516022140815594e-6,0.033539584756286274,0.013354449041552424,0.009167977929449274,0.000324182740483557,0.02371449954653746,0.009503098680727297,0.005341068984582407,0.0003114827785484276,0.016322075374567754,0.0888793959639522,0.08372020012672596,0.0612412975596227,0.10623154387436155,0.01181000693435901,1.2410363011281589,5198.141679603253,4799.2884118328775,5541.65303352523,0.45,0.0,UB&PB,0.55,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,UB&PB,0.55,45069
2500,0.9880670295804646,0.2726472316185632,0.1328025734718849,0.46761079835799463,0.8954460761064956,0.81679215267376,0.9530872027482236,0.5938857042223169,0.36445857658238257,0.8067179577007326,0.935838663823738,0.06416133617626153,0.013724723741378224,0.00974346114953085,0.0010252304836608666,0.0237151658349886,4.275356885675873e-6,0.038616598251466926,0.015550081964542176,0.011142844776166007,0.0004966648133705255,0.02775607778687356,0.011854553042431494,0.007840061631098457,0.0006263904745502889,0.02038787573120085,0.08986486174646782,0.08352266983308194,0.05670856886134713,0.11028030556196407,0.013667276987040403,1.191500088984179,4901.455191544912,4506.465637962863,5255.392791216453,0.5,0.0,UB&PB,0.55,45069
