time,Vbar_g0,soc_h_median_g0,soc_h_lerror_g0,soc_h_herror_g0,soc_v_median_g0,soc_v_lerror_g0,soc_v_herror_g0,sens_median_g0,sens_lerror_g0,sens_herror_g0,freq_ub_g0,freq_pb_g0,freq_parochial_g0,s_mean_g0,s_median_g0,s_lerror_g0,s_herror_g0,s_ltail_g0,s_htail_g0,s_end_mean_g0,s_end_median_g0,s_end_lerror_g0,s_end_herror_g0,s_young_mean_g0,s_young_median_g0,s_young_lerror_g0,s_young_herror_g0,s_child_mean_g0,s_child_median_g0,s_child_lerror_g0,s_child_herror_g0,concentration_g0,concentration_lerror_g0,concentration_herror_g0,Vbar_g1,soc_h_median_g1,soc_h_lerror_g1,soc_h_herror_g1,soc_v_median_g1,soc_v_lerror_g1,soc_v_herror_g1,sens_median_g1,sens_lerror_g1,sens_herror_g1,freq_ub_g1,freq_pb_g1,freq_parochial_g1,s_mean_g1,s_median_g1,s_lerror_g1,s_herror_g1,s_ltail_g1,s_htail_g1,s_end_mean_g1,s_end_median_g1,s_end_lerror_g1,s_end_herror_g1,s_young_mean_g1,s_young_median_g1,s_young_lerror_g1,s_young_herror_g1,s_child_mean_g1,s_child_median_g1,s_child_lerror_g1,s_child_herror_g1,concentration_g1,concentration_lerror_g1,concentration_herror_g1,mixed_freq,mixed_aleph2,strategies,mixed_u2,mixed_aleph1,mixed_u1,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.05,UB&PB,0.55,0.95,0.95,17713
2500,0.0,0.2163903405476446,0.0947508123391899,0.3605706264292143,0.822848112580517,0.6818722270870262,0.9059455358714864,0.13144397460519194,0.06417179023158083,0.21960793502818005,0.20529069328329166,0.7947093067167096,0.9485324448214361,0.8307380751568749,0.870133963289957,0.8303566481316829,0.8895501996932268,0.6162482188094146,0.9056375900988543,0.8355259142269439,0.8730038625432393,0.8372571376270787,0.8906360816790528,0.8433931532495368,0.8750126543854093,0.8459743209521502,0.8923230713863662,0.6687727755440519,0.7386556893475309,0.5927292932259487,0.8048604414037788,3100.994758036958,2604.7013889632613,3593.9186826760024,0.0,0.2992080395573232,0.18779399265828453,0.438322558618507,0.9095353425915279,0.8388821979769607,0.9600973033398486,0.8052078008199968,0.6642765847714661,0.8998223808318304,0.8729814237349393,0.12701857626506266,0.9875803807842637,0.010388559889974995,2.331185157487649e-6,0.0,0.00012939115568112852,0.0,0.08956508192701794,0.01032887462990447,0.0,0.0,0.0,0.03028632300029785,0.0009073887648846031,0.0,0.05552872746921076,0.09227349806917062,0.09212678775074043,0.08962599076274569,0.09408020637551376,68395.78371013094,13482.890933322107,291710.96062458435,0.25,0.05,UB&PB,0.55,0.95,0.95,17713
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,UB&PB,0.55,0.95,0.95,17713
2500,0.0,0.1052550387316824,0.042846514499916624,0.2087323723693591,0.9037369335436141,0.8257743244396267,0.9542987692556959,0.17624437974614574,0.09615682606608567,0.2790464490430369,0.18768178810381558,0.8123182118961845,0.9072134401882208,0.828176741424274,0.8615788135610273,0.8154942728968304,0.8898317370412018,0.6485719296825632,0.9079861272388174,0.8313563739920637,0.8638170109344178,0.8202899826101521,0.8903592693279307,0.8508052258613453,0.8747271638237203,0.8444540124428371,0.8962259607094928,0.6178763142220707,0.6920753113334583,0.49132268745102636,0.7799922570003108,4774.41645327881,4058.300337453641,5414.636161672775,0.0,0.47842657291914736,0.33351190076806747,0.6528200869604631,0.9250556893315242,0.8646713905231012,0.9680824965143275,0.8617198040194862,0.7551189758995553,0.9395952653681461,0.8651234610358354,0.13487653896416524,0.9907270101107359,0.013301425162902466,6.717934199232659e-6,0.0,0.00018338829424158304,0.0,0.09601058618429405,0.013227161859533357,0.0,0.0,0.0,0.03665107750120977,0.0024815526503294727,0.0,0.07811416651429944,0.0958674245064571,0.0960334271536102,0.09076598290430192,0.0994137506948965,55798.851797146745,10116.27102791573,259357.9979849297,0.5,0.05,UB&PB,0.55,0.95,0.95,17713
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.05,UB&PB,0.55,0.95,0.95,17713
2500,0.0,0.13255963949580943,0.06063956977067678,0.24145781796543403,0.9045352715920646,0.8291943601057307,0.9576068113259327,0.11330165436992419,0.05283535596988556,0.19807297843806126,0.18412382390388493,0.8158761760961143,0.7049728655609275,0.8199730247577702,0.849147015123595,0.794201782749351,0.8847215606657033,0.641169335752408,0.9047366433152472,0.823094013361799,0.8516036704075991,0.7988698663428633,0.8854326073371782,0.8422760585987561,0.866706751818432,0.825788408517213,0.8911729386850488,0.5772206353518103,0.5940569554962178,0.45509962630230916,0.7171426413598416,5846.267847253623,5038.454944929709,6603.7421314954045,0.0,0.868187450227633,0.7814050038537398,0.9351521570715037,0.9129569055796113,0.8523020728694957,0.9569568577670317,0.8919837221785644,0.8058023343159681,0.9468374298690568,0.856768470218842,0.14323152978115736,0.9937773831328258,0.02207543308425709,5.406257094563996e-5,3.6803354465466218e-9,0.0005247326494977969,0.0,0.11911877630348641,0.02200331963840825,0.0,0.0,2.9678770265071272e-5,0.051778948728954596,0.017471761641860862,3.488465976380525e-7,0.09519230724610007,0.10620117396938303,0.10085129996708717,0.08195848225459755,0.12102248648499342,11159.713553809577,3032.7100932388576,42994.5137430592,0.75,0.05,UB&PB,0.55,0.95,0.95,17713
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,UB&PB,0.55,0.95,0.95,17713
2500,0.0,0.15525849461773653,0.09524351930150735,0.28235476611149934,0.8915679092617357,0.8032912102198153,0.9498693163850882,0.167101747565272,0.09916295470163314,0.2697522061026092,0.09921829157056279,0.9007817084294361,0.9695174381111186,0.8290590419720567,0.876800302072292,0.8356757523918751,0.8952948097518568,0.5484035310267354,0.9090697211232772,0.8316783194469453,0.8782039800104948,0.8400134315713904,0.8954461582620316,0.8468059053687813,0.8848804206097497,0.8581353395860275,0.8996867851271249,0.6814664770841822,0.7648481854818234,0.6211707733370986,0.8176535284847966,4235.587407807263,3519.8321330743893,4936.440455702955,0.0,0.5548452869526312,0.40688102752286753,0.7323977068736643,0.9089149892407763,0.8393201846785435,0.960028055414562,0.741074930447441,0.586790242922217,0.8734793987325115,0.9396525442388362,0.06034745576116387,0.9679239033680429,0.00979916715784406,5.333428684855823e-5,1.6549978359158293e-5,0.00016044930196904762,1.1650327427168816e-7,0.06848947620254685,0.009687253448366602,0.0,0.0,0.0,0.03194978448672508,0.020599869050371724,0.006219139047165463,0.04441220188519517,0.09584548676814271,0.09604580692989008,0.09521012698022487,0.09650075366176727,2.064776779085382e7,3.3388521374144787e6,9.205467428495657e7,0.25,0.1,UB&PB,0.55,0.95,0.95,17713
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,UB&PB,0.55,0.95,0.95,17713
2500,0.0,0.16902714082409473,0.07851908263340703,0.3074279573510789,0.865930384889769,0.7850467731459816,0.9279983970066231,0.10615329657395187,0.04686034724051853,0.18864393173018487,0.14711491802073373,0.8528850819792663,0.9210499227997955,0.8252784049718414,0.8656104908421219,0.8151680708025938,0.891706580158386,0.6031855973761339,0.9082621545794464,0.8286176194110392,0.8677171330174834,0.8203531883830983,0.8920051994473897,0.842173752992605,0.8761406638738246,0.8409667296872251,0.8962900019027352,0.6127923070033602,0.669962873815911,0.499239124339041,0.7675970017677196,5094.288720489728,4381.530551211388,5798.688949428266,0.0,0.5340507675940521,0.3723825761537988,0.712365487454077,0.9235319769844113,0.8585685748443098,0.9675394155924465,0.8356574937596152,0.7153863247185437,0.9145932413842993,0.9098012242932803,0.09019877570671984,0.9880803356489442,0.01219341322013952,3.316463297268124e-5,4.195428449146157e-6,0.00019107763645899776,2.169303659035853e-8,0.0887898804838831,0.012097432347674578,0.0,0.0,0.0,0.03302137193226268,0.01235371944864661,0.0014970686246660344,0.05145283923725714,0.09839788905050138,0.09864434736500015,0.0926361785847096,0.1021360707830766,176008.35922111094,33851.18535727338,717209.2812256612,0.5,0.1,UB&PB,0.55,0.95,0.95,17713
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.1,UB&PB,0.55,0.95,0.95,17713
2500,0.0,0.13010241364135075,0.05803533252610444,0.2251671436070304,0.8862329773419959,0.7918194959436027,0.9486956843307728,0.11627792036515054,0.05238263742504132,0.2048273406193776,0.20243074180192505,0.7975692581980734,0.7995406329396618,0.8241279680689495,0.8508708792262871,0.7998234229038839,0.8866530358135073,0.6541779380900169,0.9066772813729517,0.82791170415227,0.8539093299845318,0.8054223153037293,0.8874687619904896,0.8460384701526408,0.8679304526941406,0.8295290753391541,0.8933468811305361,0.6242535600890313,0.6553928413853676,0.5298331916131976,0.7485092081213108,4841.612884588245,4114.776798303783,5500.827293354558,0.0,0.8634579835183741,0.7658085931746917,0.9319093257537925,0.9266487293492923,0.8665370102252687,0.9675060743350881,0.8948019123520167,0.8171464337277162,0.9499820924677911,0.8782630116853258,0.12173698831467425,0.9936813507991561,0.02095046386969987,3.9301194187323294e-5,5.93637179605656e-8,0.0005766366667743627,0.0,0.11826839057595823,0.020882416240527068,0.0,0.0,1.0124189241756395e-5,0.04594636626515292,0.010359998420849824,1.1149010135105154e-5,0.08439077161111035,0.10665102044641546,0.10161909305875683,0.08279570465279551,0.12124020929349504,11314.206978484977,3424.5131743881434,38949.46695817105,0.75,0.1,UB&PB,0.55,0.95,0.95,17713
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,UB&PB,0.55,0.95,0.95,17713
2500,0.0,0.16790321226544178,0.07435720433968752,0.36020274919332873,0.920294123001001,0.8504148711421785,0.9636772057551136,0.117053514105746,0.05217146736863964,0.20981569148481158,0.10908913974309051,0.8909108602569091,0.967672826990001,0.824924979189326,0.8794720082277431,0.8371109031898436,0.8972560163922096,0.47806722687299935,0.9102836999027513,0.826979084062491,0.8805526717864034,0.8406575195756516,0.8973477053827976,0.8399219818723906,0.8861018676406183,0.8584383415454973,0.9005091124045295,0.6622582399396939,0.7616742464824292,0.570292043961277,0.8111275804342967,5500.537124320168,4631.2190812564995,6354.247060141901,0.0,0.6453742968630747,0.48342005669408644,0.7803301532040244,0.7718649149913391,0.6393558223240563,0.8784511115122586,0.826876096672873,0.7070335284163894,0.9097237909212625,0.9661337430863594,0.03386625691364129,0.9658307566943994,0.009583971781374389,0.000194343310004283,9.68037396095312e-5,0.0002946348583257548,3.586551039746518e-6,0.04889740678416585,0.009373827000781034,0.0,0.0,0.0,0.04291038044511359,0.048201818706973446,0.030012996091455562,0.04888228903074737,0.09696708872306065,0.09719616597919672,0.09658867561782822,0.0974965476268568,7.692014698383825e7,2.673308206860237e7,2.58602877691562e8,0.25,0.15,UB&PB,0.55,0.95,0.95,17713
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.15,UB&PB,0.55,0.95,0.95,17713
