time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,aleph,strategies,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,UB&PB,45069
2500,0.9179059823037349,0.5202678964132577,0.35680411670337764,0.6763748650295758,0.7467246100609536,0.6386102932381515,0.8414502099182262,0.8780302730846526,0.7984569428016661,0.9394065342853877,0.9544342572850048,0.04556574271499649,0.0893562360314134,0.03052476648199631,0.006722128107866446,0.11879339028100812,0.0006593589259048281,0.3773243060054358,0.10032275704346663,0.04168453811488156,0.0100726723647674,0.1401291113617185,0.15193664929493095,0.10743588133993043,0.049031470393298325,0.21955899814901048,0.4230408575706102,0.42238159620009885,0.4130016401078781,0.43229464083057356,0.050480447959377985,0.349302695422495,14166.223137025529,7733.028605513757,26031.982290935874,0.05,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,UB&PB,45069
2500,0.9332612180962258,0.4948686985153485,0.30836517735800045,0.6644362858007448,0.7801984376312144,0.6245174966141984,0.8906288029406125,0.8445818205594293,0.7647466826428633,0.9162380961396106,0.9619957356076755,0.03800426439232413,0.08131509466455851,0.026418116761600312,0.00523999317751788,0.10752560286543623,0.0002918502459736859,0.34937629292846095,0.09127688818158927,0.035640563372780244,0.008299767170282774,0.12739168159425407,0.13364585437771018,0.09400864521363696,0.046086662805282654,0.18458916894445657,0.42325309482297946,0.4227854677677481,0.4142325301789913,0.43169137418717224,0.07198208699373193,0.393675609737215,7642.058317061755,4832.1085089692615,12334.001675909056,0.1,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,UB&PB,45069
2500,0.9497285216039976,0.49355042021492324,0.3570736753142863,0.6409097462160523,0.6446076430485935,0.5300470654971483,0.7490140106039187,0.8528583540592523,0.754145560742628,0.9272913189071552,0.9621428571428571,0.03785714285714289,0.0978470276579412,0.04850192098280141,0.013928862059707984,0.14030947761824508,0.002527466772351645,0.35388413787612355,0.1111914537139158,0.06468447443434831,0.020334194517324967,0.16360911093451955,0.15565108952481507,0.1263001761357365,0.06878630565359807,0.2143482963701507,0.42561281913578697,0.4252312857798911,0.41756409484726104,0.43316163503843325,0.011056413169572265,0.45734380039169165,5806.041016431786,3912.9774355464015,8904.505210804275,0.15,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,UB&PB,45069
2500,0.9582320664544143,0.6271462809250241,0.45718789265278464,0.8178799040474181,0.8562578888451999,0.7582189840049843,0.9302075188540168,0.8064289636693385,0.6971242820355078,0.9029737698952419,0.9662039800995027,0.03379601990049753,0.07906742436531754,0.03492490534434858,0.007601805598910522,0.10900679825791801,0.0005582923834177737,0.30662599031998905,0.0847234104534761,0.040809316131353475,0.009699183647112372,0.11945386383813103,0.12346995516578381,0.09923008214755405,0.04607275591521222,0.16939818115165256,0.4170470223298873,0.4165984965254212,0.41073901658596096,0.4227738373441589,0.11487425666577321,0.75877264789822,19473.74718474923,12913.908514551078,29977.192294458644,0.2,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,UB&PB,45069
2500,0.9651621454336926,0.46012349810811737,0.32757387560920936,0.5755912208824574,0.29314138370168735,0.20452133632602734,0.3847689308375708,0.8154068387651912,0.7348487171507466,0.8955553573955269,0.960216773276476,0.03978322672352529,0.15219626371946712,0.11086666232415922,0.048224754564996565,0.2290707621772804,0.012539896275781854,0.4106619056819762,0.17955744531787737,0.14771084232281337,0.07344271525964029,0.2646427467908545,0.22545789714788042,0.20442858616405363,0.13651568392208757,0.3039745124101601,0.4068141532947096,0.40613221517004144,0.3951472764048028,0.41758055037103975,0.17227909486325427,0.7640566411114239,5660.556945043613,3149.25148662157,10849.43789304668,0.25,UB&PB,45069
