time,opt_s,opt_payoff,s_median,s_lerror,s_herror,Vbar,T,aleph,init_sens,n,init_soc_v,λ,strategies,mu_soc_v,t,seed
7,0.0,0.0,0.049724692304187336,0.049724692304187336,0.18144641850904444,0.5750203659491333,1000,0.1,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.04947075892434246,0.04947075892434246,0.17930547388290752,0.5731808988775411,1000,0.1,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.05332440947783302,0.05332440947783302,0.1768914803449925,0.5647476994956866,1000,0.1,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.04803164320417992,0.04803164320417992,0.1807683567958201,0.5692852263308318,1000,0.1,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.05500684650913826,0.05500684650913826,0.17592525454948288,0.5759429257577942,1000,0.15,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.0541601957780367,0.0541601957780367,0.1763313870257025,0.5769404234095575,1000,0.15,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.057036170676398164,0.057036170676398164,0.17479890432202713,0.5759313239412541,1000,0.15,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.05803229512994461,0.05803229512994461,0.1742084239609728,0.5707907260105545,1000,0.15,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.05393943193006839,0.05393943193006839,0.1760799807735333,0.5763228515969798,1000,0.15,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.053006404958930275,0.053006404958930275,0.17595643091148352,0.5831890487356569,1000,0.15,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.05133597853070207,0.05133597853070207,0.17693307636689184,0.5849967636956233,1000,0.15,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.05476522205366761,0.05476522205366761,0.17698236976153214,0.5752387108401539,1000,0.15,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.05113232534715128,0.05113232534715128,0.17689979119792254,0.5800992117551117,1000,0.15,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.05511303199243187,0.05511303199243187,0.1759521814968277,0.5835297257611457,1000,0.15,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.05588122116701967,0.05588122116701967,0.176693083569415,0.5736632171131454,1000,0.15,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.020489664177461328,0.020489664177461328,0.2104426376598031,0.6327373606093942,1000,0.2,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.013611025405530414,0.013611025405530414,0.2151431998129488,0.6426835912277694,1000,0.2,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.028026061391812546,0.028026061391812546,0.2052399163357413,0.62974657327151,1000,0.2,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.0292556707414557,0.0292556707414557,0.2035118644732285,0.6258590786426612,1000,0.2,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.02163607857468372,0.02163607857468372,0.20883001124585826,0.636597776157562,1000,0.2,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.02131789454899108,0.02131789454899108,0.2089270930461344,0.6340520308449201,1000,0.2,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.023987621101543538,0.023987621101543538,0.2062064442260667,0.6340101352379941,1000,0.2,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.01695275001927299,0.01695275001927299,0.2125738880307026,0.6332128630420563,1000,0.2,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.00959522789634381,0.00959522789634381,0.21903154796659433,0.6469350524140253,1000,0.2,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.021519522086588708,0.021519522086588708,0.20915888193642024,0.6336536486235201,1000,0.2,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.023923305614555038,0.023923305614555038,0.20854311326779934,0.6271395791783214,1000,0.2,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.0,0.0,0.2035814309975482,0.7730420446487636,1000,0.25,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.0,0.0,0.2030355191975611,0.7756282767150304,1000,0.25,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.0,0.0,0.20534164701907645,0.7688986686437198,1000,0.25,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.0,0.0,0.20510304438126,0.7701694029811731,1000,0.25,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.0,0.0,0.20288988595752439,0.7789527448642513,1000,0.25,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.0,0.0,0.20319626206415636,0.7774013754737287,1000,0.25,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.0,0.0,0.20288094908117466,0.7699385691883804,1000,0.25,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.0,0.0,0.2017959339375396,0.7784972315253434,1000,0.25,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.0,0.0,0.20076104516926468,0.7798924470409797,1000,0.25,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.0,0.0,0.20580805624906606,0.7710535346527264,1000,0.25,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.0,0.0,0.2038942251595803,0.7718333683107867,1000,0.25,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.0,0.0,0.21293649796093658,0.7795872927512929,1000,0.3,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.0,0.0,0.2140195833836477,0.7801035558456944,1000,0.3,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.0,0.0,0.2153509947194105,0.7777301403414673,1000,0.3,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.0036350347660769333,0.0036350347660769333,0.21170706277791446,0.7820496922984052,1000,0.3,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.0,0.0,0.20885486410390408,0.7825796815791304,1000,0.3,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.0,0.0,0.21163526849301864,0.7804277055945492,1000,0.3,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.0,0.0,0.21170075624414111,0.778541003260016,1000,0.3,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.0007170262296116101,0.0007170262296116101,0.21069056418066287,0.7819377712592847,1000,0.3,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.0,0.0,0.20853545867525064,0.7865056908004591,1000,0.3,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.0,0.0,0.21296295989468494,0.7816263454970045,1000,0.3,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.0005032984573863195,0.0005032984573863195,0.2146537848952159,0.777549528882459,1000,0.3,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.0018854702909799573,0.0018854702909799573,0.21173648631510789,0.7924566325542451,1000,0.35,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.002269186883433777,0.002269186883433777,0.21162063625399238,0.7951511805456827,1000,0.35,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.0032765081793765735,0.0032765081793765735,0.21257756229566627,0.7909767861201895,1000,0.35,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.0015564838547494839,0.0015564838547494839,0.2148628990618927,0.7893536547688683,1000,0.35,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.004224260807678026,0.004224260807678026,0.20922932442947187,0.7956883048021589,1000,0.35,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.006211888420355834,0.006211888420355834,0.2083657841424587,0.7945689406427683,1000,0.35,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.0017157392497194751,0.0017157392497194751,0.21052916343738598,0.7947310849177958,1000,0.35,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.0006586606643915333,0.0006586606643915333,0.2124131815455234,0.7956106885081622,1000,0.35,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.0,0.0,0.21130469927700443,0.7974269884485581,1000,0.35,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.003873464248267202,0.003873464248267202,0.21197209374169698,0.7965744189967737,1000,0.35,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.0008888854053589502,0.0008888854053589502,0.2140929383608058,0.7940023066178802,1000,0.35,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.004506104052762592,0.004506104052762592,0.1999545937077158,0.8197700373242467,1000,0.4,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.0015841008301311563,0.0015841008301311563,0.20621981789231209,0.818122087682911,1000,0.4,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.0028776051444415196,0.0028776051444415196,0.21341335083930976,0.8116342150831527,1000,0.4,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.001994068091908009,0.001994068091908009,0.20692649783136158,0.8121009420730313,1000,0.4,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.003063558547753434,0.003063558547753434,0.20209265081493494,0.8150142305480363,1000,0.4,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.0011458510764253242,0.0011458510764253242,0.2059397218390892,0.8141360705877225,1000,0.4,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.0,0.0,0.20844820494757066,0.8143252684651184,1000,0.4,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.0030098344026034604,0.0030098344026034604,0.2076074939090108,0.8110591178148995,1000,0.4,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.0023725253201486232,0.0023725253201486232,0.20563833831187323,0.814723508474513,1000,0.4,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.002912237687826058,0.002912237687826058,0.20682828096142622,0.8121676395734538,1000,0.4,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.0047099923814894196,0.0047099923814894196,0.2038469492809077,0.8156829360516358,1000,0.4,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.014686659116589508,0.014686659116589508,0.18878933356181513,0.8317868424057401,1000,0.45,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.014970055814659024,0.014970055814659024,0.18873618053779925,0.8332831996856127,1000,0.45,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.010244039083812082,0.010244039083812082,0.19356769980397995,0.8254484351098491,1000,0.45,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.01543602296641404,0.01543602296641404,0.19009196620618518,0.8245453967954945,1000,0.45,0.1,25,0.0,1.5,UB,0.0,25,1
4,0.0,0.0,0.013908836072329817,0.013908836072329817,0.18734544800603498,0.8312990758947277,1000,0.45,0.1,25,0.0,1.5,UB,0.0,25,1
5,0.0,0.0,0.016501591588113727,0.016501591588113727,0.18517974056533998,0.8349436058446059,1000,0.45,0.1,25,0.0,1.5,UB,0.0,25,1
6,0.0,0.0,0.011471303812025924,0.011471303812025924,0.19056988284340165,0.8315392051643327,1000,0.45,0.1,25,0.0,1.5,UB,0.0,25,1
7,0.0,0.0,0.01262654900633306,0.01262654900633306,0.1906262563221792,0.8301089932863961,1000,0.45,0.1,25,0.0,1.5,UB,0.0,25,1
8,0.0,0.0,0.014101976133657268,0.014101976133657268,0.18384037227925987,0.8376048000349362,1000,0.45,0.1,25,0.0,1.5,UB,0.0,25,1
9,0.0,0.0,0.01541150786520152,0.01541150786520152,0.18997329949913447,0.831054643359518,1000,0.45,0.1,25,0.0,1.5,UB,0.0,25,1
10,0.0,0.0,0.007819611246379525,0.007819611246379525,0.19422004200801807,0.8281223869252303,1000,0.45,0.1,25,0.0,1.5,UB,0.0,25,1
0,0.0,0.0,0.021084797228882228,0.021084797228882228,0.18525589606548745,0.8422237315830213,1000,0.5,0.1,25,0.0,1.5,UB,0.0,25,1
1,0.0,0.0,0.02240301406588683,0.02240301406588683,0.1849971121548473,0.8413047914013608,1000,0.5,0.1,25,0.0,1.5,UB,0.0,25,1
2,0.0,0.0,0.019863632041863682,0.019863632041863682,0.18801202562113642,0.8383267610562044,1000,0.5,0.1,25,0.0,1.5,UB,0.0,25,1
3,0.0,0.0,0.023583757644317353,0.023583757644317353,0.18359085371515554,0.842747487726492,1000,0.5,0.1,25,0.0,1.5,UB,0.0,25,1
