time,Vbar,soc_h_median,soc_h_lerror,soc_h_herror,soc_v_median,soc_v_lerror,soc_v_herror,sens_median,sens_lerror,sens_herror,freq_ub,freq_pb,s_mean,s_median,s_lerror,s_herror,s_ltail,s_htail,s_end_mean,s_end_median,s_end_lerror,s_end_herror,s_young_mean,s_young_median,s_young_lerror,s_young_herror,s_child_mean,s_child_median,s_child_lerror,s_child_herror,sbar,mean_increment,concentration,concentration_lerror,concentration_herror,T,aleph,strategies,seed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.05,UB&PB,45069
2500,0.9086740087355681,0.19883582494231217,0.09475056085451224,0.3556445700879816,0.8932968500046519,0.8112727281663832,0.9499628206860211,0.7029008357333953,0.578311550718665,0.808309902108128,0.9705501066098089,0.029449893390191904,0.03327893824460254,3.525166457368213e-5,5.496425236216419e-8,0.00912701488997332,0.0,0.18859777949748951,0.039145689872342605,0.0,0.0,0.017400182181401068,0.047511063233932255,0.003729666999217427,5.245805936287503e-6,0.05500676063782606,0.4175753657798421,0.4202744103343053,0.373912770759255,0.4660079616700531,0.03489691680803037,0.7796203199326105,5680.3698058048985,4328.8814724326385,7725.468760584275,500,0.05,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.1,UB&PB,45069
2500,0.9473700062770409,0.1859309299813897,0.09305206255027008,0.3043201285636834,0.892922032663926,0.8193337307433951,0.949170077665396,0.5381419121052119,0.3770002734030313,0.7090786721906064,0.974784648187633,0.025215351812366768,0.02055567632558551,0.0004471638676298512,7.182831691944524e-6,0.022182815279896555,0.0,0.0999900059200929,0.02731976917013361,0.00021122693138365703,0.0,0.03553654435069817,0.022293825459093197,0.006549936646932285,0.00019442624641589787,0.026737828346236305,0.4181265820278842,0.42150807207381397,0.36996070733564496,0.4713095198666109,0.023011419516071788,1.022391995947623,6411.713867227307,5570.685407225457,7615.162218540331,500,0.1,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.15,UB&PB,45069
2500,0.9548336669022489,0.19328166803130725,0.07799024515682614,0.36550671175549737,0.8551755689172696,0.741288305645241,0.9303792184849238,0.7335301977909221,0.5913870702161343,0.8560830043947092,0.974685145700072,0.025314854299928954,0.027000555345742715,0.0009605974592729375,2.5166487042123756e-5,0.03433239314728214,0.0,0.12742531342401078,0.03662204628518894,0.0005731797890188937,0.0,0.053510161025211785,0.028576197897902486,0.011491075242595815,0.0008291456594503684,0.03650983799899815,0.41807053200098426,0.42090094446910464,0.37090756812501785,0.47039415863917733,0.03504126323802278,0.7944282989045156,4970.1234925314575,4173.059187649686,6086.209850643422,500,0.15,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.2,UB&PB,45069
2500,0.9610319707497764,0.12341639304905475,0.058308745370278144,0.23613813064326225,0.8551372841319627,0.7660147159892219,0.9237954767322484,0.40968940694313694,0.2605063238676459,0.5602027513410406,0.9716460554371011,0.028353944562899754,0.03244838852499666,0.011331108996139596,0.00033365112104902087,0.054470098757378876,3.985786148598461e-7,0.1155095424896127,0.045713237144085594,0.01926638973136638,3.936955366680308e-5,0.07924312611642502,0.02901915268630955,0.01693458133421938,0.0019383048774619263,0.04545628028764553,0.41854843992125473,0.42357257531849163,0.35415496694729837,0.48954883316780184,0.04033003952780725,1.0735006364570834,5065.906216548317,4500.689839061877,5719.716580132802,500,0.2,UB&PB,45069
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,0.25,UB&PB,45069
2500,0.9562278824801659,0.16148691707260138,0.08915277367953384,0.2614442637804942,0.7158885360684555,0.576871028293746,0.8227628147296607,0.5551336967850757,0.4192868173562808,0.6681815529226987,0.976352523098793,0.023647476901208282,0.05524329756199757,0.017942054726769827,0.0003474804262757219,0.09503268634224543,3.594567144192557e-7,0.1993155608241802,0.07943766194918096,0.03817156057447193,0.0,0.137396039313045,0.05323996988143445,0.03806881305444921,0.005640915695096454,0.0836826938205047,0.4182465525566986,0.424332098892329,0.35472792380757057,0.48833984375794576,0.06041880702028727,0.9127001979324934,3058.619491321603,2563.478073178599,3609.7888035806,500,0.25,UB&PB,45069
