time,opt_s,opt_payoff,s_median,s_lerror,s_herror,Vbar,T,aleph,init_sens,n,λ,t,seed
0,0.0,0.0,0.36799616,0.18370816000000004,0.23200383999999996,0.27032421164011394,1000,0.65,0.0,5,1.5,2,1
0,0.0,0.0,0.36799616,0.18370816000000004,0.23200383999999996,0.3264420935632813,1000,0.8,0.0,5,1.5,2,1
0,0.0,0.0,0.36799616,0.18370816000000004,0.23200383999999996,0.41592438705379936,1000,0.95,0.0,5,1.5,2,1
0,0.0,0.0,0.3676781056,0.1836781056,0.23232189439999995,0.2748574981016219,1000,0.65,0.005,5,1.5,2,1
0,0.0,0.0,0.36780382209638396,0.18380382209638396,0.23219617790361602,0.3258741406509032,1000,0.8,0.005,5,1.5,2,1
0,0.0,0.0,0.3676781056,0.1836781056,0.23232189439999995,0.42376554985189724,1000,0.95,0.005,5,1.5,2,1
0,0.0,0.0,0.36651903999999996,0.182702592,0.23348096000000002,0.2778972742764549,1000,0.65,0.01,5,1.5,2,1
0,0.0,0.0,0.3666944,0.18269439999999998,0.2333056,0.33182662038705635,1000,0.8,0.01,5,1.5,2,1
0,0.0,0.0,0.366759936,0.18275993599999998,0.23324006399999997,0.4165643800504173,1000,0.95,0.01,5,1.5,2,1
0,0.0,0.0,0.36520740335777896,0.18280740335777898,0.23479259664222102,0.2738448151998827,1000,0.65,0.015,5,1.5,2,1
0,0.0,0.0,0.3648,0.18419830550838534,0.23519999999999996,0.3372830876854026,1000,0.8,0.015,5,1.5,2,1
0,0.0,0.0,0.364725352448,0.18072535244799998,0.235274647552,0.4232303749674069,1000,0.95,0.015,5,1.5,2,1
0,0.0,0.0,0.36,0.18203264000000002,0.24,0.27479289795185174,1000,0.65,0.02,5,1.5,2,1
0,0.0,0.0,0.36041222541881685,0.1802574914235157,0.23881701391990423,0.33574875315379,1000,0.8,0.02,5,1.5,2,1
0,0.0,0.0,0.36125951999999995,0.17725951999999995,0.23831672000217252,0.4290511488765403,1000,0.95,0.02,5,1.5,2,1
0,0.0,0.0,0.35997724713475615,0.18397724713475616,0.2384227528652439,0.28866960327206487,1000,0.65,0.025,5,1.5,2,1
0,0.0,0.0,0.35982436328177697,0.18349638354428674,0.23777284698555196,0.3407240914987649,1000,0.8,0.025,5,1.5,2,1
0,0.0,0.0,0.36,0.17761358215358156,0.23840000000000006,0.42900168031665686,1000,0.95,0.025,5,1.5,2,1
0,0.0,0.0,0.3558978048,0.1850525715009548,0.24140144359970483,0.290196595817876,1000,0.65,0.03,5,1.5,2,1
0,0.0,0.0,0.356481792,0.18048179200000003,0.24351820799999996,0.3441366722774813,1000,0.8,0.03,5,1.5,2,1
0,0.0,0.0,0.35615355236400054,0.17535355236400052,0.24290454171599957,0.4333840199521236,1000,0.95,0.03,5,1.5,2,1
0,0.0,0.0,0.3516899527493582,0.18369266226545095,0.24502376811812077,0.29562085350681117,1000,0.65,0.035,5,1.5,2,1
0,0.0,0.0,0.35134719999999997,0.18174719999999997,0.24638703816685947,0.3529219915987656,1000,0.8,0.035,5,1.5,2,1
0,0.0,0.0,0.35228892364799996,0.17462668369919998,0.24386811335356112,0.444345103747299,1000,0.95,0.035,5,1.5,2,1
0,0.0,0.0,0.3471466115645048,0.18714661156450482,0.24806478811946592,0.3069681613022181,1000,0.65,0.04,5,1.5,2,1
0,0.0,0.0,0.34764466504778646,0.1803205688345046,0.2485883461522136,0.3581670260950741,1000,0.8,0.04,5,1.5,2,1
0,0.0,0.0,0.34692113001738645,0.17296708201738645,0.24505582998261355,0.449446027508644,1000,0.95,0.04,5,1.5,2,1
0,0.0,0.0,0.3427570533160628,0.1872497049691981,0.2485412710065545,0.3059270044336471,1000,0.65,0.045,5,1.5,2,1
0,0.0,0.0,0.34242432,0.18242432,0.24964731485367853,0.36809184684353696,1000,0.8,0.045,5,1.5,2,1
0,0.0,0.0,0.34337024,0.17537024,0.24873455582611675,0.4573972861509872,1000,0.95,0.045,5,1.5,2,1
0,0.0,0.0,0.3380888900317062,0.19218415545622208,0.25266310996829383,0.32019416240258236,1000,0.65,0.05,5,1.5,2,1
0,0.0,0.0,0.33900478176965576,0.1823885232086818,0.25279817907439117,0.37252211551599107,1000,0.8,0.05,5,1.5,2,1
0,0.0,0.0,0.3388014391020785,0.1708014391020785,0.24969264089792154,0.4658866773642704,1000,0.95,0.05,5,1.5,2,1
0,0.0,0.0,0.33312806944819473,0.19232942035367845,0.25496959752458626,0.32946492662440485,1000,0.65,0.055,5,1.5,2,1
0,0.0,0.0,0.3337177294897986,0.18460353140122424,0.25647260651020154,0.38340648076283,1000,0.8,0.055,5,1.5,2,1
